address,allocation,isVip,mintedCount,remainingAllocation,remainingAfterReservations,overAllocated,mintedTokens,reservedCount,reservedTokens,failedCount,failedReasons,inscriptionCount,inscriptionTokens,issues,highlight
t1a2wyudg1a3g9ua8tj1vk5wqtjwzrvcp2f,25,yes,0,25,25,,,0,,0,-,0,,-,
t1a3mrddhoztrzg3twtbjyabyizmawnaxku,1,no,0,1,1,,,0,,0,-,0,,-,
t1a6nwf5tjdprzfwhaduw1brvoybqbnquso,12,no,8,4,4,,"1531,2119,2213,2305,2399,5350,8347,9817",0,,0,-,8,"1531,2119,2213,2305,2399,5350,8347,9817",-,
t1a7hvjbrse6vvorjndlqrau7kyjzcgqnk5,10,yes,10,0,0,,"2069,3104,6476,6848,7747,7830,8786,9128,9457,9556",0,,0,-,10,"2069,3104,6476,6848,7747,7830,8786,9128,9457,9556",-,
t1aadsc9hrxqivnctfkqreq4yd5bqm9d9nh,10,yes,0,10,10,,,0,,0,-,0,,-,
t1ackjtwvbsfgafminnbmneegdypv9g3gca,36,no,60,-24,-24,YES,"363,407,684,967,1092,1195,1416,1782,1836,2135,2431,2638,2690,2932,3034,3084,3091,3127,3461,3509,3525,3789,3869,3984,4022,4267,4343,4486,4645,4663,4863,5424,5559,5895,5913,5984,6071,6138,6382,6425,6551,7110,7120,7224,7229,7632,7919,8219,8373,8411,8478,8775,8808,8970,9143,9145,9316,9599,9617,9692",0,,0,-,60,"363,407,684,967,1092,1195,1416,1782,1836,2135,2431,2638,2690,2932,3034,3084,3091,3127,3461,3509,3525,3789,3869,3984,4022,4267,4343,4486,4645,4663,4863,5424,5559,5895,5913,5984,6071,6138,6382,6425,6551,7110,7120,7224,7229,7632,7919,8219,8373,8411,8478,8775,8808,8970,9143,9145,9316,9599,9617,9692",over_allocated,red
t1ad5mp7aux3fxfv5hwtjfeiihcdtb71smg,50,yes,66,-16,-16,YES,"156,165,415,473,696,853,1183,1189,1270,1273,1543,1678,1686,2019,2172,2284,2469,2534,2535,2688,2805,2809,2877,2889,2921,3027,3148,3382,3787,3914,3972,4058,4139,4151,4457,4466,4501,4852,4868,4909,4975,5440,5487,5657,6302,6472,6622,6856,7500,7546,7586,7743,8309,8324,8673,8677,8836,8990,8991,9286,9329,9583,9725,9789,9810,9832",0,,0,-,66,"156,165,415,473,696,853,1183,1189,1270,1273,1543,1678,1686,2019,2172,2284,2469,2534,2535,2688,2805,2809,2877,2889,2921,3027,3148,3382,3787,3914,3972,4058,4139,4151,4457,4466,4501,4852,4868,4909,4975,5440,5487,5657,6302,6472,6622,6856,7500,7546,7586,7743,8309,8324,8673,8677,8836,8990,8991,9286,9329,9583,9725,9789,9810,9832",over_allocated,red
t1ae2dlzdvn53aawqurvqbcbsdktsiv1ayd,1,yes,0,1,1,,,0,,0,-,0,,-,
t1aehaiqzaa68debrhsekql25gx6xkm5lzj,5,yes,0,5,5,,,0,,0,-,0,,-,
t1affxornz87ff9hhqwnttzcudgfpfw65hk,2,no,0,2,2,,,0,,0,-,0,,-,
t1afjha4r2ljpptaznbyztfkvrd9eyltaqw,5,yes,0,5,5,,,0,,0,-,0,,-,
t1ahgzhdwnkqtjgkkmqav627x3avmme2qgs,1,yes,0,1,1,,,0,,0,-,0,,-,
t1ahn537hrtes9qlcbhlq7rcztkukqh9nsz,10,no,11,-1,-1,YES,"1293,2978,5689,5824,5858,6891,7175,7301,8337,8340,9265",0,,0,-,11,"1293,2978,5689,5824,5858,6891,7175,7301,8337,8340,9265",over_allocated,red
t1ahw5lg1yhls8rt3chmfhfbqdzesteiusg,12,no,0,12,12,,,0,,0,-,0,,-,
t1ajuljsbupivq2cpeden4qvgvxnodyv75g,5,no,5,0,0,,"335,437,1110,1124,2134",0,,0,-,5,"335,437,1110,1124,2134",-,
t1akehqavgfmxrkot9ir3wgkfddkpvciptt,49,no,0,49,49,,,0,,0,-,0,,-,
t1aknvdhvvfl6kbr2gnmx2i9zgqtklnxuun,2,no,2,0,0,,"122,537",0,,0,-,2,"122,537",-,
t1akqraypbyjua8kq2iduagz2fxswik7shh,5,yes,5,0,0,,"2752,3080,5804,6055,8700",0,,0,-,5,"2752,3080,5804,6055,8700",-,
t1alunes1f8r7ps4wmmmecqrg2jdhgcryqk,5,yes,9,-4,-4,YES,"523,1206,2149,3090,4641,6091,8441,8464,9517",0,,0,-,9,"523,1206,2149,3090,4641,6091,8441,8464,9517",over_allocated,red
t1andd8srhkywjgmfbpeqp4m18ubyezurxn,40,no,0,40,40,,,0,,0,-,0,,-,
