tokenId,finalStatus,finalAddress,historyLength,inscriptionAddresses,issues
0,minted,t1b4xybydvhinc2qasg9zgtdrqmxqyb6ax7,1,t1b4xybydvhinc2qasg9zgtdrqmxqyb6ax7,-
1,minted,t1gubfunujh7opq9ax1wohmpvsuv5p7hzab,1,t1gubfunujh7opq9ax1wohmpvsuv5p7hzab,-
2,minted,t1jdsfjfc6ydm63jvp9jtmykdxyyxrrtqek,1,t1jdsfjfc6ydm63jvp9jtmykdxyyxrrtqek,-
4,minted,t1b4xybydvhinc2qasg9zgtdrqmxqyb6ax7,1,t1b4xybydvhinc2qasg9zgtdrqmxqyb6ax7,-
5,minted,t1s2gpitwhmehgxip5iosmgtgnxsnkgkylx,1,t1s2gpitwhmehgxip5iosmgtgnxsnkgkylx,-
6,minted,t1brl5gccrfyg9xmcwdlsyv4xfluucssvym,1,t1brl5gccrfyg9xmcwdlsyv4xfluucssvym,-
7,minted,t1qpeclgkhmw4xgk2v6kaixumhjf5pehox1,1,t1qpeclgkhmw4xgk2v6kaixumhjf5pehox1,-
9,minted,t1gubfunujh7opq9ax1wohmpvsuv5p7hzab,1,t1gubfunujh7opq9ax1wohmpvsuv5p7hzab,-
13,minted,t1k1k3lvujfthpw1rx5gye1wt1w3nfffkuz,1,t1k1k3lvujfthpw1rx5gye1wt1w3nfffkuz,-
16,minted,t1tm4ukzttclqbius6oqzhbb5wla9soo3ii,1,t1tm4ukzttclqbius6oqzhbb5wla9soo3ii,-
18,minted,t1ugnmmfgvei3prgchynzyhugd5qysjpdcd,1,t1ugnmmfgvei3prgchynzyhugd5qysjpdcd,-
19,minted,t1uwhgycnxruf62kfea3wefuetqlahxttqv,1,t1uwhgycnxruf62kfea3wefuetqlahxttqv,-
20,minted,t1tm4ukzttclqbius6oqzhbb5wla9soo3ii,1,t1tm4ukzttclqbius6oqzhbb5wla9soo3ii,-
22,minted,t1wwe8mf17ryho7niz6wlhriaxac5f8qymi,1,t1wwe8mf17ryho7niz6wlhriaxac5f8qymi,-
23,minted,t1plr7emfb4ptjr3ydgkxtvvcx88vipczbg,1,t1plr7emfb4ptjr3ydgkxtvvcx88vipczbg,-
24,minted,t1keyd75eld8bvhtjn9r2sqxsomd4uksy3q,1,t1keyd75eld8bvhtjn9r2sqxsomd4uksy3q,-
26,minted,t1t6vyuq11ez6hmc5cfwwtwo4dxkcq49wcj,1,t1t6vyuq11ez6hmc5cfwwtwo4dxkcq49wcj,-
27,minted,t1qupqtxglgncbo4msuegxdvjmbyunvptdb,1,t1qupqtxglgncbo4msuegxdvjmbyunvptdb,-
28,minted,t1k1k3lvujfthpw1rx5gye1wt1w3nfffkuz,1,t1k1k3lvujfthpw1rx5gye1wt1w3nfffkuz,-
29,minted,t1bzl1asatjjcpee5t3hsqdmpvhw39rmzan,1,t1bzl1asatjjcpee5t3hsqdmpvhw39rmzan,-
30,minted,t1wjymzb8eklefe8jcxdxijvxwrbxybmig5,1,t1wjymzb8eklefe8jcxdxijvxwrbxybmig5,-
31,minted,t1tdx3jecge1dd9pmzxuaphvjm5hyq2c7wn,1,t1tdx3jecge1dd9pmzxuaphvjm5hyq2c7wn,-
32,minted,t1bnbdl7zusefkhvhgzfad5jq6e3d1fg3hz,1,t1bnbdl7zusefkhvhgzfad5jq6e3d1fg3hz,-
33,minted,t1s2gpitwhmehgxip5iosmgtgnxsnkgkylx,1,t1s2gpitwhmehgxip5iosmgtgnxsnkgkylx,-
35,minted,t1jdsfjfc6ydm63jvp9jtmykdxyyxrrtqek,1,t1jdsfjfc6ydm63jvp9jtmykdxyyxrrtqek,-
37,minted,t1tmtfdgwqxtxoqrnvmosa6kadkayg4kf8n,1,t1tmtfdgwqxtxoqrnvmosa6kadkayg4kf8n,-
39,minted,t1rmhswkzucw9ub1owuggjwv6lbrvbfxczv,1,t1rmhswkzucw9ub1owuggjwv6lbrvbfxczv,-
46,minted,t1rmhswkzucw9ub1owuggjwv6lbrvbfxczv,1,t1rmhswkzucw9ub1owuggjwv6lbrvbfxczv,-
47,minted,t1tm4ukzttclqbius6oqzhbb5wla9soo3ii,1,t1tm4ukzttclqbius6oqzhbb5wla9soo3ii,-
48,minted,t1k6zlqemuuuh7y2tzmnybqtkztmzt4kz5z,1,t1k6zlqemuuuh7y2tzmnybqtkztmzt4kz5z,-
49,minted,t1vxzayz2wtcgluk2rrlctxr5ivjzzfmluy,1,t1vxzayz2wtcgluk2rrlctxr5ivjzzfmluy,-
50,minted,t1b4xybydvhinc2qasg9zgtdrqmxqyb6ax7,1,t1b4xybydvhinc2qasg9zgtdrqmxqyb6ax7,-
51,minted,t1wjymzb8eklefe8jcxdxijvxwrbxybmig5,1,t1wjymzb8eklefe8jcxdxijvxwrbxybmig5,-
54,minted,t1k1k3lvujfthpw1rx5gye1wt1w3nfffkuz,1,t1k1k3lvujfthpw1rx5gye1wt1w3nfffkuz,-
55,minted,t1s2gpitwhmehgxip5iosmgtgnxsnkgkylx,1,t1s2gpitwhmehgxip5iosmgtgnxsnkgkylx,-
59,minted,t1utwwsaslf2xhdaec4hnfbewky6k9e6yqi,1,t1utwwsaslf2xhdaec4hnfbewky6k9e6yqi,-
63,minted,t1keyd75eld8bvhtjn9r2sqxsomd4uksy3q,1,t1keyd75eld8bvhtjn9r2sqxsomd4uksy3q,-
64,minted,t1mbrhhk6cqac6m4qboz9muv9bkinymot5w,1,t1mbrhhk6cqac6m4qboz9muv9bkinymot5w,-
68,minted,t1t954bo5mpnjpjqri544hnaazmwxuvgpmh,1,t1t954bo5mpnjpjqri544hnaazmwxuvgpmh,-
71,minted,t1rivrni4ifxjxgjcn8zu5kqqf5s3omngkl,1,t1rivrni4ifxjxgjcn8zu5kqqf5s3omngkl,-
73,minted,t1lckeea2rgmgawzafrvsyj5fnsbvejxujp,1,t1lckeea2rgmgawzafrvsyj5fnsbvejxujp,-
74,minted,t1khhgjrucrrbn1jhnlz8ibmtok9tpidfui,1,t1khhgjrucrrbn1jhnlz8ibmtok9tpidfui,-
75,minted,t1k6zlqemuuuh7y2tzmnybqtkztmzt4kz5z,1,t1k6zlqemuuuh7y2tzmnybqtkztmzt4kz5z,-
77,minted,t1mbpptgk2u1whfogrhk3b38npfymyf1ckz,1,t1mbpptgk2u1whfogrhk3b38npfymyf1ckz,-
78,minted,t1rmhswkzucw9ub1owuggjwv6lbrvbfxczv,1,t1rmhswkzucw9ub1owuggjwv6lbrvbfxczv,-
79,minted,t1dfjru8b7hjg8t7zxhdcuctfffw7b71alt,1,t1dfjru8b7hjg8t7zxhdcuctfffw7b71alt,-
81,minted,t1geadqaiqyvgaoog8vhocum1sq6scajdbe,1,t1geadqaiqyvgaoog8vhocum1sq6scajdbe,-
82,minted,t1b4xybydvhinc2qasg9zgtdrqmxqyb6ax7,1,t1b4xybydvhinc2qasg9zgtdrqmxqyb6ax7,-
83,minted,t1gfxpmbrdeohuwrzcrms99tghjuw7fufyu,1,t1gfxpmbrdeohuwrzcrms99tghjuw7fufyu,-
86,minted,t1sn6q8wbuc1a2s7tjdbjzcqcti8uqutseq,1,t1sn6q8wbuc1a2s7tjdbjzcqcti8uqutseq,-
